Question,Response
afficher les matires auxiliaires au niveau de la divisionmagasin pour le stock libre,"application fiori app afficher synthse des stocks. donnes dentre et instructions fiori app afficher synthse des stocks
entrer les informations suivantes 
numro darticle 10000032
division sp01
magasin am01
cliquez sur excuter.
notez le numro de lot mettre en rebut
stock saffiche. rsultats attendus stock de larticle affich en utilisation libre"
"matires auxiliaires expires
slectionnez le stock mettre en rebut","application fiori app
liste des dates limites de consommation. donnes dentre et instructions entrer les informations suivantes 
numro darticle 10000032
division sp01
magasin am01
slctionnez en jours
cliquez sur excuter.. rsultats attendus liste des dates limites de consommation affiche"
dplacer le stock de matires auxiliaires dutilisation libre vers stock bloqu,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions fiori app enregistrer entre de marchandises

sur 1er liste droulante selectinnez transfert
sur 2eme liste droulante selectinnez autre



entrer mouvement type 344





1dans la vue transfert entrer les informations suivantes 

numro darticle 10000032
division sp01
magasin am01
lot slectionnez le numro de lot dans la liste entrer le lot not de ltape 1.0
cliquez sur entrer
2 dans la vue quantit entrez 
quantit 10000
check post ok et cliquez sur enregistrer

document article enregistr
. rsultats attendus le stock de matires auxiliaires va tre dplac de stock dutilisation libre vers stock bloqu
document article 49xxxxxxx enregistr"
"matires auxiliaires endommags
slectionnez le stock mettre au rebut","application fiori app enregistrer mouvement de stock. donnes dentre et instructions fiori app enregistrer mouvement de stock

sur 1er liste droulante selectinnez sortie de marchandises
sur 2eme liste droulante selectinnez autres



entrer mouvement type 551





1dans la vue article entrer les informations suivantes 
article 10000032

2dans la vue quantit entrez 
dans la vue quantit entrez 10000

3dans la vue o entrer les informations suivantes 
division sp01
magasin am01 et cliquer sur entrer
lot slectionnez le numro de lot dans la liste entrer le lot not de ltape 1.0
motif du mouvement selectinnez 0001 article endommag
slectionnez stock bloqu

4dans la vue compte entrer les informations suivantes 
compte gnral sp01stock0
cliquez sur entrer, check pos ok cliquezsur enregistrer
notez le numro du document article gnr 49xxxxxxxx. rsultats attendus document article 49xxxxxxx enregistr"
afficher liste des documents article,"application fiori app afficher liste des documents article. donnes dentre et instructions fiori app enregistrer mouvement de stock

sur 1er liste droulante selectinnez afficher
sur 2eme liste droulante selectinnez document article
entrez document article gnr lors de ltape 1.3
cliquez sur entrer
check document details
cliquez sur info documentpuis cliquez sur pces cptables, double cliquez sur pice comptable pour afficher les dtails
. rsultats attendus numro de document artilce enregistr"
afficher stocks,"application fiori app afficher synthse des stocks. donnes dentre et instructions fiori app afficher synthse des stocks
entrer les informations suivantes 
numro darticle 10000032
division sp01
magasin am01
cliquez sur excuter.

stock saffiche. rsultats attendus stock pour la division saffiche avec succs"
afficher synthse des stocks,"application fiori app afficher synthse des stocks. donnes dentre et instructions entrer les informations suivantes 
numro darticle 30000118
division jf03
notez le lot que vous utiliserez dans la livraison
cliquez sur excut
."
crer livraison sortante pour la commende client cre,"application fiori app crer livraison sortante avec rfrence la commande. donnes dentre et instructions 1. ouvrir crer livraison sortante avec rfrence la commande
2. entrez point dexpdition jf03
3. dans le champ ordre entrez le numro de la commende client
cliquez sur entrer et enregistrer le document. 
notez le document de la livrason sortante 80xxxxxx."
prlvement partiel de la livraison sortante,"application fiori app modifier livraison sortante. donnes dentre et instructions allez modifier livraison sortante
entrez le numro de la livraison sortante de ltape prcedente 3.1 
cliquez sur suitepuis cliquez sur la vue prlvement darticles , dans la qt prleve entrez la quantit prleve de du stock. si la quantit rel prleve est audessous ou audessus de la quantit livre modifiez la qt livre pour quelle soit gale la quantit prleve si ncessaire exp qt livre est 15000 et la qt prleve du stock tait 14000, mettez qt livre 14000 etqt prleve 14000
entrez magasin fr01
dans le champ lot selectinnez le lot si la liste des lots napparat pas cliquez sur licone prs du champ lot


puis retournez et choisissez le lot pour la divisionet entrez le numro de larticle 30000118 et la division jf03 et cliquez sur rechercher et la liste des lots safiche vous puvez aussi utiliser lapp afficher synthse des stocks et trouvez le ot avec stock

cliquez sur enregistrer. ."
mnuellemnt enregistrer les rsultats des lots de contrle de la livraison sortante,"application fiori app traiter les lots de contrle rserve de travail. donnes dentre et instructions 1. entrer les informations suivantes 
 lot cre le date lxecution du script
 division jf03
 article 30000118
 origine de lot de contrle 02
2. cliquez sur lr button excuter
3.cliquez sur plus puis cliquez sur modifier la mise en forme,
 dans la liste droite cliquez sur cre par puis cliquez sur la flche cidessous
et cliquez sur licne reprendre.

4 slectionnez le lot de contrle et cliquez surrsultats
5 slectionnez le lab cliquez sur pts de ctrle affects
4.entrez caleurs de rsultat pour chaque caractristique et cliquez sur licne accept


5.selectinnez les caractristiqueset cliquez sur licne de vroullage 

6.rptez la mme chose pour les autres caractristiques et enregistrer.
un pop up mgs saffiche pour confirmer lvaluation du point de contrle.
cliquez sur acceptrejet et appuyez sur continuer.
."
performerdcision dutilisation pour le lot de contrle cre 02 type dinspection pour la livraison sortante,"application fiori app traiter les lots de contrle rserve de travail. donnes dentre et instructions entrer les informations suivantes 
1 division jf03
 article 30000118
 origine de lot de contrle 02
3 excuter, vous allez obtenir la ligne du lot de contrle cre xxxx 
4 selectinnez la ligne du lot de contrle et cliquez sur dcision dutilisation
5 selectionnez dans le champ code d.u produits finis et cliquez sur accept
cliquez sur enregistrer, un message appar dcision dutilisation pour le lot de controle xxxx est enregistrer.
rafrechissez lcran et le lot de contrle va apparatre fait.
."
enregistrer sortie de marchandises pour la livraison sortante cre pour le client vrifiez le document fico gnr,"application fiori app modifier livraison sortante. donnes dentre et instructions allez modifier livraison sortante 
entrez le numro de la livraison sortante de ltape prcedente 3.1 
cliquez sur entrer
le button est en haut du document, si le button napparat pas,cliquez sur plus, puis cliquez sur editer puis sur enregistrer sortie de marchandises. 

4 cliquez sur flux du document le button est en haut du document, notez le numro du document article en face de sortie de marchandises livraison .49xxxxxxxx."
vrifier le statut de la livraison pour la sortie de marchandises,"application fiori app afficher livraison sortante. donnes dentre et instructions allez afficher livraison sortante 
entrez le numro de la livraison sortante de ltape prcedente 
cliquez sur flux de documentet vrifiez les dtails."
vrifier article et document comptable gnr lors de la sortie de marchandises,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 selectionnez
isur 1er liste droulante selectinnez afficher
sur 2eme liste droulante selectinnez document article
entrez le num du doc article de ltape 6.2

2 dans lentte selectionnez info document et cliquez sur pices comptables pour afficher la list des documents comptables."
afficher stock pour la division mtrie et rcptrice,"application fiori app stock artcilces multiples. donnes dentre et instructions entrer donnes cidessous
numro darticle 20000011
division ja02 division cdante
magasin as01 magasin mteur
cliquer sur lancer
notez le numro du lot que vous allez utilisez pour la sortie de marchandises. 
repeatez ltape pour la division rceptrice et entrez les donnes cidessous 
numro darticle 20000011
division jf06 division rcptrice
magasin as01 magasin rcepteur
cliquer sur lancer. rsultats attendus stock de division afficher proprement"
list les demandes de transport de stock ouvertes,"application fiori app afficher demandes dachat. donnes dentre et instructions entrer donnes cidessous
article 20000011 
division jf06 division rcptrice
type de document zap2 aps intercompany str
cliquer sur executer
les demandes de transport de stock saffichent, notez le numro du str.. rsultats attendus list des str affich"
crer un ordre de transport de stock sto inter company,"application fiori app crer commande dachat tendu. donnes dentre et instructions 1 accedez crer commande dachat tendu
2 slectionnez dans la liste gauche en haut aps intercompany sto type de document. 


3 cliquez sur activer synthse des documents, cliquez sur selection variant icne et choisissez demandes dachat .







4 entrez article 20000011 et la division jf06 et cliquez sur excuter. 
5 choisissez le numro du str vrifie lor de ltape 1.1 et cliquez sur icne reprendre. 

6 dans lentte document, dans la vue donnes organisationnelles vrifiez si la orgachat est pj01 et entrez groupe dachteurs t06 sto group jln
vrifiez les quantits and la date de livraison
6 cliquez sur enregistrer
le sto est cre, notez le document
. rsultats attendus le po pour le transport est cre sous le numro 45xxxxxxxxx"
list des sto ouverts,"application fiori app afficher documents dachat par division cdante. donnes dentre et instructions entrer donnes cidessous
division cdante ja02
divisionjf06
type de document zap2 aps intercompany str
tendue de la liste alv

excuter
. rsultats attendus liste des sto ouverts saffiche"
crer livraison sortante pour lentit cdente jour 1,"application fiori app mes postes de commande dachat expdier. donnes dentre et instructions 1 entrer donnes cidessous
point expdition ja02

assurez vous que la date de livraison est entre les dates saisies. 

2 dans la vue commandes dachat entrer
document dachat 450000xxxx sto cre lors de ltape 2.1 puis cliquez sur executer

3 dans la nouvelle fentre, selectinnez la ligne et cliquez sur le button arrireplan
4 cliquez sur plus puis cliquez sur affichermasquer livraisons et noter le numro de document de livraison sortante le numro est dans la colonne document. . rsultats attendus livraison sortante cr sous le numro 8xxxxxxxxx"
enregistrer sortie de marchandises pour la livraison sortante et gnration du transit,"application fiori app modifier livraison sortante. donnes dentre et instructions allez modifier livraison sortante 
entrez le numro de la livraison sortante de ltape prcedente 3.1 
cliquez sur entrer

2 dans la vue prlvement darticles entrer
quantit livr 15000 si la quantit rel prleve est audessous ou audessus de la quantit livre modifiez la qt livre pour quelle soit gale la quantit prleve si ncessaire exp qt livre est 15000 et la qt prleve du stock tait 14000, mettez qt livre 14000 etqt prleve 14000
quantit prleve 15000
magasin as01 and cliquez sur entrer
lot selectinnez le numro du lot entrez le numro du lot notez lors de ltape 1.0
3cliquez sur enregistrer sortie de marchandises le buttoon est en haut du document, si le button napparat pas,cliquez sur plus, puis cliquez sur editer puis sur enregistrer sortie de marchandises. 

4 cliquez sur flux du document le button est en haut du document, notez le numro du document article en face de sortie de marchandises. rsultats attendus document article enregistrer aprs la sortie de marchandises"
vrifiez stock en transit,"application fiori app affichage du stock en transit. donnes dentre et instructions 
1 selectinnez
article 20000011
division prenante jf06
division cdante ja02

cliquez sur excuter. rsultats attendus stock en transit saffiche dans la liste"
vrifier le document fico gnr de la sortie de marchandises,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 selectinnez
sur 1er liste droulante selectinnez afficher
sur 2eme liste droulante selectinnez document article
entrer le document n le document article cre lors de ltape 3.2

2 dans lentte selectionnez info doc et cliquez sur pces cptables pour afficher la liste pices coomptables. rsultats attendus liste des pices comptables saffiche"
entr de marchandise dans la divisionmagasin rcepteur,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 selectionnez
sur 1er liste droulante selectinnez entr de marchandises
sur 2eme liste droulante selectinnez commande dachat
enter le document n sto cre dans ltape 3.1

2 vrifiez la date de document et la date denregistrement 
3 dans la vue o entrer magasin ap02
4 dans la vue quantit confirmez la quantit entre 15000
5 idans la vue lot pas de numro de lot gnr par le systme
6 cochez post ok
7 cliquez sur enregistrer.
8 larticle va tre enregistrer dans le stock qualit, notez le document article gnr. . rsultats attendus document article xxxxxxxxxx enregistr"
vrifier le document fico gnr de lentr de marchandises,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 selectinnez
sur 1er liste droulante selectinnez afficher
sur 2eme liste droulante selectinnez document article
entrer le document n le document article cre lors de ltape 3.5

2dans lentte selectionnez info doc et cliquez sur pces cptables pour afficher la liste pices coomptables
. rsultats attendus lisre des documents comptables saffiche"
confirmez les rsultats du contrle qualit,"application fiori app traiter les lots de contrle rserve de travail. donnes dentre et instructions entrer les informations suivantes 
1 article 20000011
2 division jf06
3 origine de lot de contrle 01
et cliquez sur le button excuter
3 cliquez sur plus puis cliquez sur modifier la mise en forme,
dans la liste droite cliquez sur cre par puis cliquez sur la flche cidessous
et cliquez sur licne reprendre.

 you will be able to see the inspection lot created by your user. 
4 slectionnez le lot de contrle et cliquez surrsultats
5 slectionnez le lab cliquez sur pts de ctrle affects optionnel
6 entrez valeurs de rsultat pour chaque caractristique et cliquez sur licne accept


selectionnez les caractristiques et cliquez sur licne de vroullage 
6 cliquez sur enregistrer. . rsultats attendus les rsultats dinspections sont enregistrs pour le lot de contrle"
confirmez dcision dutilisation librer le lot pour usage libre,"application fiori app traiter les lots de contrle rserve de travail. donnes dentre et instructions entrer les informations suivantes 
1 article 20000011
2 division jf06 
3 origine de lot de contrle 01
et cliquez sur lr button excuter
3 selectionnez la ligne du lot de contrle et cliquez sur on dcision dutilisation
4 selectionnez dans le champ code d.u produits finis et cliquez sur accept
5 cliquez sur la vue stock de lot de contrle et mouvementez la quantit de contrle de qualit usage libre . entrer la quantit dans stock libre. 
6 cliquez sur enregistrer. . rsultats attendus dcision dutilisation pour le lot de controle xxxx est enregistrer"
crer livraison sortante pour lentit cdente jour 2,"application fiori app mes postes de commande dachat expdier. donnes dentre et instructions 1 entrer donnes cidessous
point expdition ja02

assurez vous que la date de livraison est entre les dates saisies. 

2 dans la vue commandes dachat entrer
document dachat 450000xxxx sto cre lors de ltape 2.1 puis cliquez sur executer

3 dans la nouvelle fentre, selectinnez la ligne et cliquez sur le button arrireplan
4 cliquez sur plus puis cliquez sur affichermasquer livraisons et noter le numro de document de livraison sortante le numro est dans la colonne document. . rsultats attendus livraison sortante cr sous le numro 8xxxxxxxxx"
enregistrer sortie de marchandises pour la livraison sortante et gnration du transit,"application fiori app modifier livraison sortante. donnes dentre et instructions allez modifier livraison sortante 
entrez le numro de la livraison sortante de ltape prcedente 3.7 
cliquez sur entrer

2 dans la vue prlvement darticles entrer
quantit livr 15000 si la quantit rel prleve est audessous ou audessus de la quantit livre modifiez la qt livre pour quelle soit gale la quantit prleve si ncessaire exp qt livre est 15000 et la qt prleve du stock tait 14000, mettez qt livre 14000 etqt prleve 14000
quantit prleve 15000
magasin as01 and cliquez sur entrer
lot selectinnez le numro du lot entrez le numro du lot notez lors de ltape 1.0
3cliquez sur enregistrer sortie de marchandises le buttoon est en haut du document, si le button napparat pas,cliquez sur plus, puis cliquez sur editer puis sur enregistrer sortie de marchandises. 

4 cliquez sur flux du document le button est en haut du document, notez le numro du document article en face de sortie de marchandises. rsultats attendus document article enregistrer aprs la sortie de marchandises"
vrifiez stock en transit,"application fiori app affichage du stock en transit. donnes dentre et instructions 
1 selectinnez
article 20000011
division prenante jf06
division cdante ja02

cliquez sur excuter. rsultats attendus stock en transit saffiche dans la liste"
vrifier le document fico gnr de lentr de marchandises,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 selectionnez
sur 1er liste droulante selectinnez afficher
sur 2eme liste droulante selectinnez document article
entrer le document n le document article cre lors de ltape 3.5

2dans lentte selectionnez info doc et cliquez sur pces cptables pour afficher la liste pices coomptables
. rsultats attendus lisre des documents comptables saffiche"
entr de marchandise dans la divisionmagasin rcepteur,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 selectionnez
sur 1er liste droulante selectinnez entr de marchandises
sur 2eme liste droulante selectinnez commande dachat
enter le document n sto cre dans ltape 3.1

2 vrifiez la date de document et la date denregistrement 
3 dans la vue o entrer magasin ap02
4 dans la vue quantit confirmez la quantit entre 15000
5 idans la vue lot pas de numro de lot gnr par le systme
6 cochez post ok
7 cliquez sur enregistrer.
8 larticle va tre enregistrer dans le stock qualit, notez le document article gnr. . rsultats attendus document article xxxxxxxxxx enregistr"
vrifier le document fico gnr de lentr de marchandises,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 selectinnez
sur 1er liste droulante selectinnez afficher
sur 2eme liste droulante selectinnez document article
entrer le document n le document article cre lors de ltape 3.5

2dans lentte selectionnez info doc et cliquez sur pces cptables pour afficher la liste pices coomptables
. rsultats attendus lisre des documents comptables saffiche"
confirmez les rsultats du contrle qualit,"application fiori app traiter les lots de contrle rserve de travail. donnes dentre et instructions entrer les informations suivantes 
1 article 20000011
2 division jf06
3 origine de lot de contrle 01
et cliquez sur le button excuter
3 cliquez sur plus puis cliquez sur modifier la mise en forme,
dans la liste droite cliquez sur cre par puis cliquez sur la flche cidessous
et cliquez sur licne reprendre.

 you will be able to see the inspection lot created by your user. 
4 slectionnez le lot de contrle et cliquez surrsultats
5 slectionnez le lab cliquez sur pts de ctrle affects optionnel
6 entrez valeurs de rsultat pour chaque caractristique et cliquez sur licne accept


selectionnez les caractristiques et cliquez sur licne de vroullage 
6 cliquez sur enregistrer. . rsultats attendus les rsultats dinspections sont enregistrs pour le lot de contrle"
confirmez dcision dutilisation librer le lot pour usage libre,"application fiori app traiter les lots de contrle rserve de travail. donnes dentre et instructions entrer les informations suivantes 
1 article 20000011
2 division jf06 
3 origine de lot de contrle 01
et cliquez sur lr button excuter
3 selectionnez la ligne du lot de contrle et cliquez sur on dcision dutilisation
4 selectionnez dans le champ code d.u produits finis et cliquez sur accept
5 cliquez sur la vue stock de lot de contrle et mouvementez la quantit de contrle de qualit usage libre . entrer la quantit dans stock libre. 
6 cliquez sur enregistrer. . rsultats attendus dcision dutilisation pour le lot de controle xxxx est enregistrer"
afficher stock pour la division mtrie et rcptrice,"application fiori app stock artcilces multiples. donnes dentre et instructions entrer donnes cidessous
numro darticle 20000011
division ja02 division cdante
magasin as01 magasin mteur
cliquer sur lancer
notez le numro du lot que vous allez utilisez pour la sortie de marchandises. 
repeatez ltape pour la division rceptrice et entrez les donnes cidessous 
numro darticle 20000011
division jf06 division rcptrice
magasin as01 magasin rcepteur
cliquer sur lancer. rsultats attendus stock de division afficher proprement"
afficher stock pour la division mtrie et rcptrice,"application fiori app stock artcilces multiples. donnes dentre et instructions entrer donnes cidessous
numro darticle 30000001
division sf01 issuing plant
magasin ap03 magasin mteur
cliquer sur lancer
notez le numro du lot que vous allez utilisez pour la sortie de marchandises. 
repeatez ltape pour la division rceptrice et entrez les donnes cidessous 
numro darticle 30000001
division sa01receiving plant
magasin ap02 magasin rcepteur
cliquer sur lancer. rsultats attendus stock de division afficher proprement"
list les demandes de transport de stock ouvertes,"application fiori app afficher demandes dachat. donnes dentre et instructions entrer donnes cidessous
article 30000001
division sa01division rceptrice
type de document zap1 aps intracompany str
cliquez sur excuter
les demandes de transport de stock saffichent, notez le numro du str.. rsultats attendus list des str affich"
crer un ordre de transport de stock sto intra company,"application fiori app crer commande dachat tendu. donnes dentre et instructions 1 accedez crer commande dachat tendu
2 slectionnez dans la liste gauche en haut sto witho dely type de document. 


3 cliquez sur activer synthse des documents, cliquez sur selection variant icne et choisissez demandes dachat .







4 entrez article 30000001 et la division sa01 et cliquez sur excuter. 
5 choisissez le numro du str vrifie lor de ltape 1.1 et cliquez sur icne reprendre. 

6 dans lentte document, dans la vue donnes organisationnelles vrifiez si la orgachat est pj01 et entrez groupe dachteurs t12 sto group mp1
vrifiez les quantits and la date de livraison
6 cliquez sur enregistrer
le sto est cre, notez le document
. rsultats attendus le po pour le transport est cre sous le numro 45xxxxxxxxx"
list des sto ouverts,"application fiori app afficher documents dachat par division cdante. donnes dentre et instructions entrer donnes cidessous
division cdante sf01
divisionsa01
type de document zap3 sto witho dely
tendue de la liste alv

excuter
. rsultats attendus liste des sto ouverts saffiche"
enregistrer sortie de marchandises premier jour,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 accedez enregistrer mouvement de stock
2 sur 1er liste droulante sortie de marchandises
3 sur 2eme liste droulante commande dachat et entrez le numro du sto cre lors de ltape 2.1 et cliquez sur entrer. 
entrez magasin ap03 et cliquez sur entrer
4 entrer quantit 15000, 
cliquez sur la vue lot et selectinnez le numro du lot de la liste ou entrez le numro du lot not lors de ltape 1.0
5 chequez sur post ok et cliquez sur enregistrer. notez le numro du document gnr. rsultats attendus sortie de marchandises enregistre"
vrifiez stock en transit,"application fiori app affichage du stock en transit. donnes dentre et instructions 
1 selectinnez
article 30000001
division prenante sa01
division cdante sf01

cliquez sur excuter. rsultats attendus stock en transit saffiche dans la liste"
vrifier le document fico gnr de la sortie de marchandises,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 selectinnez
sur 1er liste droulante selectinnez afficher
sur 2eme liste droulante selectinnez document article
entrer le document n le document article cre lors de ltape 3.1

2 dans lentte selectionnez info doc et cliquez sur pces cptables pour afficher la liste pices coomptables. rsultats attendus liste des pices comptables saffiche"
entr de marchandise dans la divisionmagasin rcepteur,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 selectionnez
sur 1er liste droulante selectinnez entr de marchandises
sur 2eme liste droulante selectinnez commande dachat
enter le document n sto cre dans ltape 2.1

2 vrifiez la date de document et la date denregistrement 
3 dans la vue o entrer magasin ap02
4 dans la vue quantit confirmez la quantit entre 15000
5 idans la vue lot pas de numro de lot gnr par le systme
6 cochez post ok
7 cliquez sur enregistrer.
8 larticle va tre enregistrer dans le stock qualit, notez le document article gnr. . rsultats attendus document article xxxxxxxxxx enregistr"
confirmez les rsultats du contrle qualit,"application fiori app traiter les lots de contrle rserve de travail. donnes dentre et instructions entrer les informations suivantes 
1 article 30000001
2 division sa01
3 origine de lot de contrle 08
et cliquez sur le button excuter
3 cliquez sur plus puis cliquez sur modifier la mise en forme,
dans la liste droite cliquez sur cre par puis cliquez sur la flche cidessous
et cliquez sur licne reprendre.

 you will be able to see the inspection lot created by your user. 
4 slectionnez le lot de contrle et cliquez surrsultats
5 slectionnez le lab cliquez sur pts de ctrle affects optionnel
6 entrez valeurs de rsultat pour chaque caractristique et cliquez sur licne accept


selectionnez les caractristiques et cliquez sur licne de vroullage 
6 cliquez sur enregistrer. . rsultats attendus les rsultats dinspections sont enregistrs pour le lot de contrle"
confirmez tdcision dutilisation librer le lot pour usage libre,"application fiori app traiter les lots de contrle rserve de travail. donnes dentre et instructions entrer les informations suivantes 
1 article 30000001
2 division sa01 
3 origine de lot de contrle 08
et cliquez sur lr button excuter
3 selectionnez la ligne du lot de contrle et cliquez sur on dcision dutilisation
4 selectionnez dans le champ code d.u produits semifinis et cliquez sur accept
5 cliquez sur la vue stock de lot de contrle et mouvementez 15000 de contrle de qualit usage libre . entrer la quantit dans stock libre. 
6 cliquez sur enregistrer. . rsultats attendus dcision dutilisation pour le lot de controle xxxx est enregistrer"
vrifier le document fico gnr de lentr de marchandises,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 selectinnez
sur 1er liste droulante selectinnez afficher
sur 2eme liste droulante selectinnez document article
entrer le document n le document article cre lors de ltape 4.1

2dans lentte selectionnez info doc et cliquez sur pces cptables pour afficher la liste pices coomptables
. rsultats attendus aucun document comptable nest trouv"
enregistrer sortie de marchandises deuxime jour,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 accedez enregistrer mouvement de stock
2 sur 1er liste droulante sortie de marchandises
3 sur 2eme liste droulante commande dachat et entrez le numro du sto cre lors de ltape 2.1 et cliquez sur entrer. 
entrez magasin ap03 et cliquez sur entrer
4 entrer quantit 15000, 
cliquez sur la vue lot et selectinnez le numro du lot de la liste ou entrez le numro du lot not lors de ltape 1.0
5 chequez sur post ok et cliquez sur enregistrer. notez le numro du document gnr. rsultats attendus sortie de marchandises enregistre"
vrifiez stock en transit,"application fiori app affichage du stock en transit. donnes dentre et instructions 
1 selectinnez
article 30000001
division prenante sa01
division cdante sf01

cliquez sur excuter. rsultats attendus stock en transit saffiche dans la liste"
vrifier le document fico gnr de la sortie de marchandises,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 selectinnez
sur 1er liste droulante selectinnez afficher
sur 2eme liste droulante selectinnez document article
entrer le document n le document article cre lors de ltape 3.1

2 dans lentte selectionnez info doc et cliquez sur pces cptables pour afficher la liste pices coomptables. rsultats attendus liste des pices comptables saffiche"
entr de marchandise dans la divisionmagasin rcepteur,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 selectionnez
sur 1er liste droulante selectinnez entr de marchandises
sur 2eme liste droulante selectinnez commande dachat
enter le document n sto cre dans ltape 2.1

2 vrifiez la date de document et la date denregistrement 
3 dans la vue o entrer magasin ap02
4 dans la vue quantit confirmez la quantit entre 15000
5 idans la vue lot pas de numro de lot gnr par le systme
6 cochez post ok
7 cliquez sur enregistrer.
8 larticle va tre enregistrer dans le stock qualit, notez le document article gnr. . rsultats attendus document article xxxxxxxxxx enregistr"
confirmez les rsultats du contrle qualit,"application fiori app traiter les lots de contrle rserve de travail. donnes dentre et instructions entrer les informations suivantes 
1 article 30000001
2 division sa01
3 origine de lot de contrle 08
et cliquez sur le button excuter
3 cliquez sur plus puis cliquez sur modifier la mise en forme,
dans la liste droite cliquez sur cre par puis cliquez sur la flche cidessous
et cliquez sur licne reprendre.

 you will be able to see the inspection lot created by your user. 
4 slectionnez le lot de contrle et cliquez surrsultats
5 slectionnez le lab cliquez sur pts de ctrle affects optionnel
6 entrez valeurs de rsultat pour chaque caractristique et cliquez sur licne accept


selectionnez les caractristiques et cliquez sur licne de vroullage 
6 cliquez sur enregistrer. . rsultats attendus les rsultats dinspections sont enregistrs pour le lot de contrle"
confirmez tdcision dutilisation librer le lot pour usage libre,"application fiori app traiter les lots de contrle rserve de travail. donnes dentre et instructions entrer les informations suivantes 
1 article 30000001
2 division sa01 
3 origine de lot de contrle 08
et cliquez sur lr button excuter
3 selectionnez la ligne du lot de contrle et cliquez sur on dcision dutilisation
4 selectionnez dans le champ code d.u produits semifinis et cliquez sur accept
5 cliquez sur la vue stock de lot de contrle et mouvementez 15000 de contrle de qualit usage libre . entrer la quantit dans stock libre. 
6 cliquez sur enregistrer. . rsultats attendus dcision dutilisation pour le lot de controle xxxx est enregistrer"
vrifier le document fico gnr de lentr de marchandises,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions 1 selectinnez
sur 1er liste droulante selectinnez afficher
sur 2eme liste droulante selectinnez document article
entrer le document n le document article cre lors de ltape 4.1

2dans lentte selectionnez info doc et cliquez sur pces cptables pour afficher la liste pices coomptables
. rsultats attendus aucun document comptable nest trouv"
afficher stock pour la division mtrie et rcptrice,"application fiori app stock artcilces multiples. donnes dentre et instructions entrer donnes cidessous
numro darticle 30000001
division sf01 issuing plant
magasin ap03 magasin mteur
cliquer sur lancer
notez le numro du lot que vous allez utilisez pour la sortie de marchandises. 
repeatez ltape pour la division rceptrice et entrez les donnes cidessous 
numro darticle 30000001
division sa01receiving plant
magasin ap02 magasin rcepteur
cliquer sur lancer. rsultats attendus stock de division afficher proprement"
